smiles,energy
C#[O+],-425.47283
C1=[O+]O1,-716.37244
C1=[O+][O+]=1,-692.82367
C1OO1,-736.61189
C=O,-444.65418
C=[O+],-437.68933
C=[O+][O-],-736.04515
O,-323.0006
O=C=O,-713.9282
O=C=[O+],-704.71666
O=C=[OH+],-720.72559
O=CO,-741.05279
O=C[O+],-720.72559
O=C[O-],-731.82046
O=O,-585.94074
O=[C+]O,-720.72559
O=[C+][O+],-694.924
O=[C+][O-],-713.9282
O=[C-]O,-731.82046
O=[C-][O+],-713.9282
O=[C-][O-],-720.23322
O=[C-][OH+],-726.28957
O=[C-][OH2+],-740.53468
O=[C]O,-726.28957
O=[C][O+],-704.71666
O=[C][O-],-717.59965
O=[C][OH+],-720.72559
O=[O+],-580.73232
O=[OH+],-593.45887
OO,-615.21396
O[C-]=[OH+],-741.05279
O[C-][OH+],-741.05279
O[C]O,-741.05279
O[OH+],-608.62956
[C+2],-94.66598
[C+2]1OO1,-692.82047
[C+2]=O,-392.81871
[C+2]O,-413.531
[C+2]O[O-],-700.12086
[C+2]O[O],-692.79951
[C+2][O+][O-],-692.79756
[C+2][O-],-408.75571
[C+2][O],-392.81871
[C+],-104.11917
[C+]#[O+],-392.81871
[C+]1=[O+]O1,-692.82367
[C+]1OO1,-704.71547
[C+]1O[O+]1,-692.82367
[C+]=O,-408.75652
[C+]=[O+],-392.81871
[C+]=[O+][O-],-700.12086
[C+]=[O+][O],-692.79951
[C+]=[OH+],-413.531
[C+]O,-420.20068
[C+]OO,-717.05217
[C+]O[O+],-693.21343
[C+]O[O-],-708.44602
[C+]O[O],-702.09895
[C+][O+],-392.81871
[C+][O+]=O,-692.79951
[C+][O+][O-],-700.12086
[C+][O+][O],-692.79951
[C+][O-],-417.51453
[C+][OH+],-413.531
[C+][OH+][O-],-715.83162
[C+][OH2+],-425.49877
[C+][O],-408.75652
[C-2],-117.19666
[C-2]1OO1,-712.09984
[C-2]1O[O+]1,-717.59915
[C-2]1O[OH+]1,-730.9904
[C-2]1[O+]=[O+]1,-708.25782
[C-2]1[O+][O+]1,-708.25782
[C-2]1[O+][OH+]1,-726.27744
[C-2]1[OH+][OH+]1,-740.46308
[C-2]=O,-418.68067
[C-2]=[O+],-419.4091
[C-2]=[O+]O,-730.20264
[C-2]=[O+][O+],-708.44602
[C-2]=[O+][O-],-720.23182
[C-2]=[O+][OH+],-724.17349
[C-2]=[O+][OH2+],-740.58239
[C-2]=[O+][O],-713.50406
[C-2]=[OH+],-429.96918
[C-2]O,-431.15734
[C-2]O[O+],-710.32653
[C-2]O[OH+],-726.0705
[C-2]O[O],-715.28666
[C-2][O+],-416.52294
[C-2][O+]=O,-717.59754
[C-2][O+]=[O+],-708.45344
[C-2][O+]=[OH+],-724.17256
[C-2][O+]O,-726.0705
[C-2][O+][O+],-708.45344
[C-2][O+][O-],-715.28666
[C-2][O+][OH+],-724.17256
[C-2][O+][OH2+],-734.86049
[C-2][O+][O],-717.59754
[C-2][O-],-417.43847
[C-2][OH+],-430.69356
[C-2][OH+][O+],-719.52786
[C-2][OH+][OH+],-735.21851
[C-2][OH+][O],-728.93721
[C-2][OH2+],-447.42383
[C-2][O],-419.88202
[C-],-118.62586
[C-]#[O+],-417.51453
[C-]1=[O+]O1,-708.25782
[C-]1=[O+][O+]1,-704.71547
[C-]1=[O+][OH+]1,-715.74032
[C-]1OO1,-717.59915
[C-]1O[O+]1,-708.25782
[C-]1O[OH+]1,-726.27744
[C-]1[O+]=[O+]1,-704.71547
[C-]1[O+][O+]1,-704.71547
[C-]1[O+][OH+]1,-715.74032
[C-]=O,-419.4091
[C-]=[O+],-417.51453
[C-]=[O+]O,-724.17349
[C-]=[O+][O+],-702.09895
[C-]=[O+][O-],-713.50406
[C-]=[O+][OH+],-717.0737
[C-]=[O+][O],-708.45344
[C-]=[OH+],-428.54018
[C-]O,-430.69356
[C-]OO,-726.0705
[C-]O[O+],-704.26277
[C-]O[O-],-715.28666
[C-]O[OH+],-719.35505
[C-]O[OH2+],-734.86049
[C-]O[O],-710.32653
[C-][O+],-417.51453
[C-][O+]=O,-708.45344
[C-][O+]=[O+],-702.09895
[C-][O+]=[OH+],-717.0737
[C-][O+]O,-724.17349
[C-][O+][O-],-713.50406
[C-][O+][OH+],-717.0737
[C-][O+][O],-708.45344
[C-][O-],-419.88202
[C-][OH+],-428.54018
[C-][OH+]O,-735.21851
[C-][OH+][O+],-713.08643
[C-][OH+][O-],-728.93721
[C-][OH+][O],-719.52786
[C-][OH2+],-439.48054
[C-][O],-419.4091
[CH+2],-116.65769
[CH+2]O,-430.73032
[CH+2]O[O-],-716.37109
[CH+2][O-],-425.47283
[CH+2][O],-412.81602
[CH+],-123.76652
[CH+]1OO1,-716.37244
[CH+]=O,-425.47283
[CH+]=[O+],-412.81602
[CH+]=[O+][O-],-716.37109
[CH+]=[OH+],-430.73032
[CH+]O,-437.50255
[CH+]O[O-],-725.15838
[CH+]O[O],-716.38386
[CH+][O+],-412.81602
[CH+][O+][O-],-716.37109
[CH+][O-],-430.21968
[CH+][OH+],-430.73032
[CH+][O],-425.47283
[CH-2],-133.60922
[CH-2]O[O+],-724.89292
[CH-2][O+],-433.26726
[CH-2][O+]=O,-725.47366
[CH-2][O+]=[O+],-725.15884
[CH-2][O+]=[OH+],-738.09097
[CH-2][O+][O+],-725.15884
[CH-2][O+][OH+],-738.09097
[CH-2][O+][O],-725.47366
[CH-2][OH+],-445.43693
[CH-2][OH+][O+],-737.79968
[CH-2][O],-434.35836
[CH-],-133.82375
[CH-]1OO1,-725.4402
[CH-]1O[O+]1,-721.81308
[CH-]1O[OH+]1,-741.05206
[CH-]1[O+]=[O+]1,-716.37287
[CH-]1[O+][O+]1,-716.37287
[CH-]=O,-433.41037
[CH-]=[O+],-430.21968
[CH-]=[O+]O,-738.05031
[CH-]=[O+][O+],-716.42046
[CH-]=[O+][O-],-725.4733
[CH-]=[O+][O],-725.15884
[CH-]=[OH+],-442.80712
[CH-]O,-445.43693
[CH-]O[O+],-721.15391
[CH-]O[OH+],-736.92668
[CH-]O[O],-724.89292
[CH-][O+],-430.21968
[CH-][O+]=O,-725.15884
[CH-][O+]=[O+],-716.42046
[CH-][O+]O,-738.05031
[CH-][O+][O+],-716.42046
[CH-][O+][O-],-725.4733
[CH-][O+][O],-725.15884
[CH-][O-],-434.35836
[CH-][OH+],-442.80712
[CH-][OH+][O],-737.79968
[CH-][O],-433.41037
[CH2+2],-132.39445
[CH2+],-140.06302
[CH2+]O[O-],-736.04515
[CH2+][O+],-426.42853
