smiles,energy
O,-323.0006
O1OO1,-877.15558
O1OOO1,-1169.61374
O1O[O+]=[O+]1,-1153.6988
O1O[O+]O1,-1162.76614
O1O[O+][O+]1,-1153.6988
O1O[OH+]1,-882.60805
O1O[OH+]O1,-1176.8432
O1[O+]2O[O+]12,-1158.49348
O1[O+]=[O+]1,-859.81678
O1[O+]O[O+]1,-1152.99904
O1[O+][O+]1,-859.81678
O1[O+][OH+]1,-875.87285
O1[OH+][OH+]1,-892.86833
O=O,-585.94074
O=[O+],-580.73232
O=[O+]O,-887.49496
O=[O+]OO,-1179.87328
O=[O+]O[O+],-1161.40142
O=[O+]O[O-],-1171.87393
O=[O+][O+],-865.16606
O=[O+][O+]=O,-1158.43517
O=[O+][O+][O-],-1168.04748
O=[O+][O-],-879.51266
O=[O+][OH+],-877.34247
O=[O+][OH+][O-],-1179.29528
O=[O+][OH2+],-895.5213
O=[OH+],-593.45887
OO,-615.21396
OOO,-908.23295
OOOO,-1201.19454
OO[OH+],-901.17525
O[O+]1OO1,-1179.87286
O[O+]=[OH+],-892.87646
O[O+]O,-901.17525
O[O+][OH+],-892.87646
O[OH+],-608.62956
[H+],-8.227469999999983
[H-],-13.51462
[H],-11.07011
[H][H],-28.04697
[O+],-284.53259
[O+]#[O+],-572.57091
[O+]=[O+],-572.57091
[O+]=[O+]O,-877.34247
[O+]=[O+]O[O-],-1167.57764
[O+]=[O+][O+][O-],-1161.40856
[O+]=[O+][O-],-871.84275
[O+]=[OH+],-585.39224
[O+]O,-593.85035
[O+]OO,-887.34742
[O+]OOO,-1180.99684
[O+]OO[O+],-1155.15599
[O+]OO[O-],-1174.32871
[O+]O[O+],-861.75252
[O+]O[O+][O-],-1168.12956
[O+]O[O-],-878.05265
[O+]O[OH+],-880.17511
[O+]O[OH+][O-],-1181.13997
[O+]O[OH2+],-895.61255
[O+][O+],-572.57091
[O+][O+]([O+])[O-],-1156.18574
[O+][O+]([O-])O,-1179.38292
[O+][O+]([O-])[O-],-1168.85161
[O+][O+]1OO1,-1161.37109
[O+][O+]=[O+][O-],-1161.40856
[O+][O+]O,-877.34247
[O+][O+]O[O-],-1167.57764
[O+][O+][O+][O-],-1161.40856
[O+][O+][O-],-871.84275
[O+][O-],-585.94074
[O+][OH+],-585.39224
[O+][OH+]O,-893.0218
[O+][OH+]O[O-],-1181.11477
[O+][OH+][O-],-884.00566
[O+][OH2+],-599.47238
[O-2],-299.91227
[O-],-296.06935
[O-]O,-604.93494
[O-]OO,-898.44262
[O-]OOO,-1191.25559
[O-]OO[O-],-1180.81299
[O-]OO[OH+],-1187.86341
[O-]OO[OH2+],-1202.54686
[O-]O[O+]=[OH+],-1179.76781
[O-]O[O+]O,-1187.86341
[O-]O[O+][O-],-1178.32797
[O-]O[O+][OH+],-1179.76781
[O-]O[O-],-887.62968
[O-]O[OH+],-894.30697
[O-]O[OH+]O,-1201.10891
[O-]O[OH+][O-],-1190.77152
[O-]O[OH2+],-908.93632
[O-][O+](O)O,-1201.55432
[O-][O+]([O-])O,-1192.65564
[O-][O+]([O-])[O-],-1182.50498
[O-][O+]([O-])[OH+],-1185.15019
[O-][O+]([O-])[OH2+],-1202.57083
[O-][O+]1OO1,-1171.87659
[O-][O+]1O[O+]1,-1168.12496
[O-][O+]1O[OH+]1,-1179.87305
[O-][O+]1[O+]=[O+]1,-1158.31697
[O-][O+]1[O+][O+]1,-1158.31697
[O-][O+]=[O+]O,-1179.74264
[O-][O+]=[O+][O-],-1170.97533
[O-][O+]=[OH+],-887.49415
[O-][O+]O,-894.30697
[O-][O+]OO,-1187.86341
[O-][O+]O[OH+],-1180.99684
[O-][O+][O+]O,-1179.74264
[O-][O+][O+][O-],-1170.97533
[O-][O+][O-],-884.66887
[O-][O+][OH+],-887.49415
[O-][O+][OH+][O-],-1187.84836
[O-][O+][OH2+],-903.80541
[O-][O-],-593.58147
[O-][OH+],-600.4431
[O-][OH+]O,-907.26591
[O-][OH+]OO,-1199.81362
[O-][OH+][O-],-897.61676
[O-][OH+][OH+],-900.01656
[O-][OH+][OH+][O-],-1198.8188
[O-][OH2+],-613.91316
[OH+],-299.52754
[OH+]=[OH+],-599.56073
[OH+]O[OH+],-892.39293
[OH+][OH+],-599.56073
[OH-],-312.66913
[OH2+],-314.97531
[OH3+],-331.22807
[OH],-306.66459
[O],-290.94352
[O]O,-600.4431
[O]OO,-894.30697
[O]OOO,-1187.86341
[O]OO[O+],-1168.12956
[O]OO[O-],-1178.32797
[O]OO[OH+],-1180.99684
[O]OO[O],-1174.32871
[O]O[O+],-870.16051
[O]O[O+]=O,-1167.62933
[O]O[O+]=[O+],-1161.39629
[O]O[O+]O,-1180.99684
[O]O[O+][O+],-1161.39629
[O]O[O+][O-],-1174.32871
[O]O[O+][O],-1167.62933
[O]O[O-],-884.66887
[O]O[OH+],-887.34742
[O]O[OH+][O-],-1187.84836
[O]O[OH+][O],-1181.13997
[O]O[OH2+],-903.80541
[O]O[O],-878.05265
[O][O+],-580.73232
[O][O+]([O+])[O-],-1160.3361
[O][O+]([O-])O,-1185.15019
[O][O+]([O-])[O-],-1176.21071
[O][O+]([O-])[OH+],-1179.38292
[O][O+]([O])O,-1179.38292
[O][O+]([O])[O+],-1156.18574
[O][O+]([O])[O-],-1168.85161
[O][O+]([O])[O],-1160.3361
[O][O+]1OO1,-1168.14042
[O][O+]1O[O+]1,-1161.25554
[O][O+]=O,-871.84317
[O][O+]=[O+],-865.16606
[O][O+]=[O+][O-],-1168.04748
[O][O+]=[O+][O],-1158.43517
[O][O+]=[OH+],-877.34247
[O][O+]O,-887.49496
[O][O+]OO,-1179.87328
[O][O+]O[O+],-1161.40142
[O][O+]O[O-],-1171.87393
[O][O+][O+],-865.16606
[O][O+][O+]=O,-1158.43517
[O][O+][O+][O-],-1168.04748
[O][O+][O+][O],-1158.43517
[O][O+][O-],-879.51266
[O][O+][OH+],-877.34247
[O][O+][OH+][O-],-1179.29528
[O][O+][OH2+],-895.5213
[O][O+][O],-871.84317
[O][O-],-590.91556
[O][OH+],-593.45887
[O][OH+]O,-900.01656
